image_path,crop,disease,caption,temperature,humidity,rainfall,source_csv,image_full_path
Cedar_rust(1).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with visible spots.,24.0,95.0,48.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(1).JPG
Cedar_rust(2).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brown and white showing early symptoms.,23.0,86.0,44.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(2).JPG
Cedar_rust(3).JPG,Apple,Cedar_apple_rust,a leaf with a few spots under natural light.,19.0,91.0,34.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(3).JPG
Cedar_rust(4).JPG,Apple,Cedar_apple_rust,a leaf with a few spots during daylight.,24.0,92.0,43.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(4).JPG
Cedar_rust(5).JPG,Apple,Cedar_apple_rust,a leaf with a scab on it with healthy green texture.,23.0,92.0,22.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(5).JPG
Cedar_rust(6).JPG,Apple,Cedar_apple_rust,a leaf with a few spots during daylight.,19.0,93.0,21.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(6).JPG
Cedar_rust(7).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots on it under natural light.,19.0,85.0,25.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(7).JPG
Cedar_rust(8).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with healthy green texture.,17.0,94.0,41.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(8).JPG
Cedar_rust(9).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brownish brownish brownish brownish brownish brownish brownish brownish showing early symptoms.,17.0,88.0,33.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(9).JPG
Cedar_rust(10).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brownish-blackish brownish brownish brownish brownish brownish brown during daylight.,20.0,96.0,42.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(10).JPG
Cedar_rust(11).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with visible spots.,19.0,87.0,49.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(11).JPG
Cedar_rust(12).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots showing early symptoms.,18.0,95.0,33.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(12).JPG
Cedar_rust(13).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing slight discoloration.,18.0,89.0,31.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(13).JPG
Cedar_rust(14).JPG,Apple,Cedar_apple_rust,a leaf with a few brown spots and a few brown spots showing slight discoloration.,17.0,86.0,40.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(14).JPG
Cedar_rust(15).JPG,Apple,Cedar_apple_rust,a small speck of brownish brownish brownish brownish brownish brownish brownish brownish brownish with visible spots.,16.0,92.0,35.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(15).JPG
Cedar_rust(16).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brown and yellow showing slight discoloration.,21.0,93.0,29.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(16).JPG
Cedar_rust(17).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brownish brown rust on it during daylight.,24.0,88.0,47.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(17).JPG
Cedar_rust(18).JPG,Apple,Cedar_apple_rust,a leaf with a few spots showing slight discoloration.,16.0,94.0,38.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(18).JPG
Cedar_rust(19).JPG,Apple,Cedar_apple_rust,a leaf with a few spots during daylight.,18.0,85.0,23.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(19).JPG
Cedar_rust(20).JPG,Apple,Cedar_apple_rust,a leaf with a brown spot on it during daylight.,17.0,88.0,26.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(20).JPG
Cedar_rust(21).JPG,Apple,Cedar_apple_rust,a leaf with a few spots with visible spots.,19.0,97.0,40.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(21).JPG
Cedar_rust(22).JPG,Apple,Cedar_apple_rust,a leaf with a rusty brown spot with healthy green texture.,19.0,97.0,50.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(22).JPG
Cedar_rust(23).JPG,Apple,Cedar_apple_rust,a leaf with a few spots during daylight.,24.0,91.0,28.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(23).JPG
Cedar_rust(24).JPG,Apple,Cedar_apple_rust,a leaf with a scab on it under natural light.,21.0,94.0,35.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(24).JPG
Cedar_rust(25).JPG,Apple,Cedar_apple_rust,a leaf with a few spots of brown and white fungus showing slight discoloration.,19.0,93.0,40.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(25).JPG
Cedar_rust(26).JPG,Apple,Cedar_apple_rust,a leaf with a few spots under natural light.,22.0,94.0,46.0,Apple___Cedar_apple_rust.csv,/content/drive/MyDrive/Crop-Dataset/Apple___Cedar_apple_rust/Cedar_rust(26).JPG
